web-scraper-order,web-scraper-start-url,pagination,PLZ,Stadt,Stadtteil,Landkreis,Bundesland
"1632988485-15094","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-6","68307","Mannheim","Mannheim-Scharnhof","","Baden-Württemberg"
"1632988485-14783","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-6","65824","Schwalbach am Taunus","","Main-Taunus-Kreis","Hessen"
"1632988501-15639","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-5","56412","Niederelbert","","Westerwaldkreis","Rheinland-Pfalz"
"1632988522-16458","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-3","33154","Salzkotten","","Kreis Paderborn","Nordrhein-Westfalen"
"1632988546-18268","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-1","14789","Rosenau","","Kreis Potsdam-Mittelmark","Brandenburg"
"1632988457-12739","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-8","83539","Pfaffing","","Kreis Rosenheim","Bayern"
"1632988440-11861","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-9","94264","Langdorf","","Kreis Regen","Bayern"
"1632988522-16983","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-3","39439","Güsten","","Salzlandkreis","Sachsen-Anhalt"
"1632988501-15497","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-5","55452","Windesheim","","Kreis Bad Kreuznach","Rheinland-Pfalz"
"1632988440-11819","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-9","94113","Tiefenbach Kr. Passau","","Kreis Passau","Bayern"
"1632988511-16055","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-4","46348","Raesfeld","","Kreis Borken","Nordrhein-Westfalen"
"1632988440-12174","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-9","97225","Zellingen","","Kreis Main-Spessart","Bayern"
"1632988538-17671","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-2","25866","Mildstedt","","Kreis Nordfriesland","Schleswig-Holstein"
"1632988485-14757","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-6","65527","Niedernhausen","","Rheingau-Taunus-Kreis","Hessen"
"1632988538-17059","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-2","21380","Artlenburg","","Kreis Lüneburg","Niedersachsen"
"1632988501-15455","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-5","55122","Mainz","Mainz-Hartenberg-Münchfeld","","Rheinland-Pfalz"
"1632988440-12189","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-9","97252","Frickenhausen a. Main","","Kreis Würzburg","Bayern"
"1632988538-17665","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-2","25858","Högel","","Kreis Nordfriesland","Schleswig-Holstein"
"1632988423-11192","https://home.meinestadt.de/deutschland/plz-0","","08645","Bad Elster","","Vogtlandkreis","Sachsen"
"1632988457-12856","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-8","84389","Postmünster","","Kreis Rottal-Inn","Bayern"
"1632988473-13950","https://home.meinestadt.de/deutschland/plz-0","https://home.meinestadt.de/deutschland/plz-7","74248","Ellhofen","","Kreis Heilbronn","Baden-Württemberg"
