web-scraper-order,web-scraper-start-url,Name,Redaktionssitz,Verlag
"1632990151-18772","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Pfälzischer Merkur","Zweibrücken","Zweibrücker Druckerei und Verlagsgesellschaft mbH"
"1632990151-18740","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Oberbadische, Die","Lörrach","Oberbadisches Verlagshaus Georg Jaumann GmbH & Co. KG"
"1632990151-18601","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Hannoversche Allgemeine Zeitung","Hannover","Verlagsgesellschaft Madsack GmbH & Co. KG"
"1632990151-18725","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Nordbadische Nachrichten","Buchen (Odenwald)","Rhein-Neckar-Zeitung GmbH"
"1632990151-18687","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Mindelheimer Zeitung","Mindelheim","Hans Högel KG"
"1632990151-18474","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Berliner Kurier","Berlin","Berliner Verlag GmbH"
"1632990151-18895","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Wasserburger Zeitung","Wasserburg am Inn","Oberbayerisches Volksblatt GmbH & Co. Medienhaus KG"
"1632990151-18443","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Aller-Zeitung","Gifhorn","Adolf Enke GmbH & Co. KG"
"1632990151-18592","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Gütersloher Zeitung","Gütersloh","Neue Westfälische GmbH & Co. KG"
"1632990151-18518","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Der neue Tag","Weiden","Der neue Tag (Oberpfälzischer Kurier) Druck- und Verlagshaus GmbH"
"1632990151-18641","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Kölner Stadt-Anzeiger","Köln","M. DuMont Schauberg Expedition der Kölnischen Zeitung GmbH & Co. KG"
"1632990151-18804","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Ruhr Nachrichten","Dortmund","Medienhaus Lensing"
"1632990151-18726","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Nordbayerische Nachrichten","Forchheim","Nürnberger Presse Druckhaus Nürnberg GmbH & Co."
"1632990151-18561","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Frankfurter Neue Presse","Frankfurt am Main","Frankfurter Societäts-Druckerei GmbH"
"1632990151-18901","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Welt, Die","Berlin","WeltN24 GmbH"
"1632990151-18541","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Eichstätter Kurier","Eichstätt","Donaukurier Verlagsgesellschaft mbH & Co KG"
"1632990151-18851","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Strelitzer Zeitung","Neustrelitz","Kurierverlags GmbH & Co. KG"
"1632990151-18666","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Lüdenscheider Nachrichten","Lüdenscheid","Märkischer Zeitungsverlag GmbH & Co. KG"
"1632990151-18733","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Nordfriesland Tageblatt","Husum","Schleswig-Holsteinischer Zeitungsverlag"
"1632990151-18836","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Selber Tagblatt","Selb","Frankenpost Verlag GmbH"
"1632990151-18645","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Kreis-Anzeiger","Nidda","Verlag Wetterau und Vogelsberg GmbH"
"1632990151-18487","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Borkumer Zeitung","Borkum","Borkumer Zeitung GmbH"
"1632990151-18936","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Zweibrücker Rundschau","Zweibrücken","Rheinpfalz Verlag und Druckerei GmbH und Co. KG"
"1632990151-18931","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Zaman","Offenbach am Main","World Media Group AG"
"1632990151-18811","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Salzgitter-Zeitung","Salzgitter","Braunschweiger Zeitungsverlag GmbH und Co. KG"
"1632990151-18636","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Jeversches Wochenblatt","Jever","Brune-Mettcker Druck- und Verlagsgesellschaft mbH"
"1632990151-18769","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Pfaffenhofener Kurier","Pfaffenhofen","Donaukurier Verlagsgesellschaft mbH & Co KG"
"1632990151-18651","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Landauer Neue Presse","Landau an der Isar","Neue Presse Verlags-GmbH"
